,State,Confirmed,Cured,Deaths,Active,Lat,Long
0,Andaman and Nicobar Islands,38,33,0,5,11.7401,92.6586
1,Andhra Pradesh,5965,3195,82,2688,15.9129,79.74
2,Arunachal Pradesh,87,4,0,83,28.218,94.7278
3,Assam,3718,1584,8,2126,26.2006,92.9376
4,Bihar,6290,3956,39,2295,25.0961,85.3131
5,Chandigarh,345,286,5,54,30.7333,76.7794
6,Chhattisgarh,1512,631,6,875,21.2787,81.8661
7,Dadra and Nagar Haveli and Daman and Diu,35,2,0,33,20.1809,73.0169
8,Delhi,38958,14945,1271,22742,28.7041,77.1025
9,Goa,523,70,0,453,15.2993,74.124
10,Gujarat,23038,15883,1448,5707,22.2587,71.1924
11,Haryana,6749,2803,78,3868,29.0588,76.0856
12,Himachal Pradesh,502,313,6,183,31.1048,77.1734
13,Jammu and Kashmir,4878,2269,55,2554,33.7782,76.5762
14,Jharkhand,1711,816,8,887,23.6102,85.2799
15,Karnataka,6824,3648,81,3095,15.3173,75.7139
16,Kerala,2407,1046,19,1342,10.8505,76.2711
17,Ladakh,437,68,1,368,34.1526,77.577
18,Madhya Pradesh,10641,7377,447,2817,22.9734,78.6569
19,Maharashtra,104568,49346,3830,51392,19.7515,75.7139
20,Manipur,449,91,0,358,24.6637,93.9063
21,Meghalaya,44,22,1,21,25.467,91.3662
22,Mizoram,107,1,0,106,23.1645,92.9376
23,Nagaland,163,76,0,87,26.1584,94.5624
24,Odisha,3723,2594,10,1119,20.9517,85.0985
25,Puducherry,176,82,2,92,11.9416,79.8083
26,Punjab,3063,2327,65,671,31.1471,75.3412
27,Rajasthan,12401,9337,282,2782,27.0238,74.2179
28,Sikkim,63,4,0,59,27.533,88.5122
29,Tamil Nadu,42687,23409,397,18881,11.1271,78.6569
30,Telangana,4737,2352,182,2203,18.1124,79.0193
31,Tripura,1046,315,1,730,23.9408,91.9882
32,Uttarakhand,1785,1077,23,685,30.0668,79.0193
33,Uttar Pradesh,13118,7875,385,4858,26.8467,80.9462
34,West Bengal,10698,4542,463,5693,22.9868,87.855
